id,name,price,discount,company,category,specification/description,details,ratings,number of ratings,stock
22.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",28242.0536,40.65,NextGen,Accessories,High resolution,Limited stock,4.5,633.0,56.0
46.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",31580.3724,40.65,TechCorp,Electronics,Lightweight,Exclusive deal,4.8,320.0,7.0
121.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",18417.0172,40.65,GadgetWorld,Networking,Lightweight,Exclusive deal,4.0,952.0,20.0
217.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",74324.62513,24.98160475,GadgetWorld,Electronics,High quality audio,Customer favorite,4.5,557.0,12.0
226.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",6737.8868,40.65,GearMax,Gaming,High resolution,30-day return policy,3.0,871.0,56.0
254.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",41345.1092,40.65,GadgetWorld,Networking,Fast charging,Best seller,1.2,319.0,65.0
259.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",28369.3,40.65,InnovateX,Electronics,Long battery life,Highly rated,4.0,148.0,94.0
268.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",25681.4572,40.65,GadgetWorld,Networking,Lightweight,Highly rated,3.3,968.0,73.0
287.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",36979.26768,24.98160475,NextGen,Imaging,Long battery life,Limited stock,3.3,872.0,15.0
299.0,"Acer Predator Helios 300, Intel Core i7, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6-inch FHD, RGB Keyboard, Black",74120.0784,40.65,DevicePro,Storage,Durable design,30-day return policy,4.7,667.0,5.0
