id,name,price,discount,company,category,specification/description,details,ratings,number of ratings,stock
1,"Garmin Forerunner 945, GPS Running Smartwatch, 2 Weeks Battery Life, Music, Advanced Training Features, Black",26120.20493,24.98160475,InnovateX,Storage,Durable design,Best seller,3.7,361,76
2,"OnePlus 11, Eternal Green, 8GB RAM, 128GB Storage, Snapdragon 8 Gen 2, 6.7-inch QHD+ AMOLED Display, 50MP Triple Camera",67725.40693,24.98160475,NextGen,Imaging,Fast charging,Best seller,1.0,313,13
3,"Dell XPS 13, Intel Core i7, 16GB RAM, 1TB SSD, 13.4-inch UHD+ Display, Intel Iris Xe Graphics, Platinum Silver",4408.518,40.65,GearMax,Peripherals,Advanced features,30-day return policy,1.6,210,26
4,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU",81373.1232,40.65,QuantumGear,Audio,High quality audio,Limited stock,2.1,341,45
5,"Apple iPhone 14 Pro, 128GB, Space Black, 6.1-inch Super Retina XDR Display, A15 Bionic Chip, Dual 12MP Cameras",83662.31482,24.98160475,ElectroHub,Imaging,Advanced features,Free shipping,1.6,578,10
6,"Garmin Forerunner 945, GPS Running Smartwatch, 2 Weeks Battery Life, Music, Advanced Training Features, Black",10113.24,40.65,PixelDynamics,Audio,High quality audio,Limited stock,4.9,62,92
7,"Logitech MX Master 3S Wireless Mouse, Ultrafast Scrolling, Ergonomic Design, 4000 DPI Sensor, Graphite",5155.264121,24.98160475,AlphaTech,Networking,High quality audio,1 year warranty,4.5,136,18
8,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU",20308.1456,40.65,ElectroHub,Computers,Durable design,1 year warranty,2.1,206,4
9,"Logitech MX Master 3S Wireless Mouse, Ultrafast Scrolling, Ergonomic Design, 4000 DPI Sensor, Graphite",33118.52099,24.98160475,DevicePro,Storage,Durable design,1 year warranty,1.8,416,76
10,"Microsoft Surface Pro 9, Intel Core i5, 8GB RAM, 256GB SSD, 13-inch Touchscreen, Platinum, Windows 11",46764.0016,40.65,PixelDynamics,Computers,High performance,1 year warranty,2.5,832,55
11,"Logitech MX Master 3S Wireless Mouse, Ultrafast Scrolling, Ergonomic Design, 4000 DPI Sensor, Graphite",15406.37779,24.98160475,GadgetWorld,Computers,Durable design,1 year warranty,1.6,356,35
12,"JBL Flip 6, Portable Bluetooth Speaker, Waterproof, 12 Hours Playtime, Dual Passive Radiators, Red",29731.976,40.65,AlphaTech,Audio,High performance,Exclusive deal,4.5,310,73
13,"Amazon Echo Dot (5th Gen), Smart Speaker with Alexa, Charcoal, Improved Sound, Voice Control",55374.0248,40.65,PixelDynamics,Storage,Long battery life,Free shipping,3.8,515,1
14,"Bose SoundLink Revolve+ Bluetooth Speaker, 360° Sound, Portable, Water-Resistant, Triple Black",73416.00232,24.98160475,GadgetWorld,Computers,Advanced features,Customer favorite,1.4,458,55
15,"Samsung Galaxy S23 Ultra, 12GB RAM, 256GB Storage, 200MP Camera, 6.8-inch QHD+ Display, Phantom Black",80732.99652,24.98160475,AlphaTech,Audio,High performance,Free shipping,2.9,802,82
